Organisation,Account No,Country,City Short Name,C40,Reporting Year,Sector,Target boundary,Baseline year,Baseline emissions (metric tonnes CO2e),Percentage reduction target,Target date,Comment,City Location,Country Location,id
"City of Bellingham, WA",58636,USA,"Bellingham, Wa",,2016,Total,City limits,2000,862545.1,7.0,2012.0,,"(48.74908, -122.478147)","(37.09024, -95.712891)",79
City of Benicia,49787,USA,Benicia,,2016,Total,"Residential Electricity and Natural Gas Use, Commercial/Industrial Electricity and Natural Gas Use, On Road Transportation, Off Road Equipment, Waste, Water Supply, Treatment, and Delivery",2000,487035.0,10.0,2020.0,,"(38.049365, -122.1585777)","(37.09024, -95.712891)",80
City of Boulder,54104,USA,Boulder,,2016,Total,"Electricity, natural gas, transportation, landfill",2005,1943165.0,80.0,2050.0,Interim targets under development.,"(40.0274, -105.2519)","(37.09024, -95.712891)",81
City of Hamilton,50555,Canada,Hamilton,,2016,Total,"Agriculture, waste, transportation, commercial, residential, industrial (not steel), industrial (steel sector)",2006,23351712.0,20.0,2020.0,Targets achieved in 2011.,"(43.250021, -79.866091)","(56.130366, -106.346771)",82
City of Hamilton,50555,Canada,Hamilton,,2016,Total,"Agriculture, waste, transportation, commercial, residential, industrial (not steel), industrial (steel sector)",2006,23351712.0,50.0,2030.0,Targets set in 2015 to follow Corporate targets and community request under Community Climate Change Action Plan 2015,"(43.250021, -79.866091)","(56.130366, -106.346771)",82
City of Burlington,2430,USA,Burlington,,2016,Total,community-wide emissions,2007,401996.0,20.0,2020.0,"Reduction Goals

Subsequent to the completion of the 2007 GHG emissions inventory, the City established the following emissions reduction targets: 

Short-term: 
Reduction of 20% below 2007 levels by 2020 
*Equals 1.5% annual reduction until 2020 

Long-term: 
Reduction of 80% below 2007 levels by 2050 
*Equals 2% annual reduction between 2020 and 2050 

To achieve its 2020 goal, the City would have to reduce the emissions generated by its municipal operations by 4,657 tons of CO2 equivalent, while the community-wide emissions reduction would have to approach 86,485 tons of CO2 equivalent. These are not insignificant numbers, but if the City and community come together in working towards those same goals, we can surely achieve them. Exploration of new technologies, new financial incentives and/or financing schemes, as well as a general willingness and commitment to the implementation of this plan will bring success.","(44.4758825, -73.212072)","(37.09024, -95.712891)",83
City of Calgary,35475,Canada,Calgary,,2016,Total,"The target applies to all emissions tracked in the inventory (electricity, natural gas, gasoline, diesel, landfill gas)",2005,15793731.0,20.0,2020.0,,"(51.048615, -114.070846)","(56.130366, -106.346771)",84
City of Calgary,35475,Canada,Calgary,,2016,Total,"The target applies to all emissions tracked in the inventory (electricity, natural gas, gasoline, diesel, landfill gas)",1990,11871100.0,50.0,2036.0,Target was set as part of imagineCALGARY (a community-wide engagement in 2006 to set the 100-year sustainability vision for Calgary).,"(51.048615, -114.070846)","(56.130366, -106.346771)",84
City of Calgary,35475,Canada,Calgary,,2016,Total,"The target applies to all emissions tracked in the inventory (electricity, natural gas, gasoline, diesel, landfill gas)",2005,15793731.0,80.0,2050.0,,"(51.048615, -114.070846)","(56.130366, -106.346771)",84
City of Charlotte,43914,USA,Charlotte,,2016,Total,,Other,3063483.0,100.0,2050.0,"We have a goal to be carbon neutral by 2050, and are currently working on our baseline inventory through the GPC.","(35.2271, -80.8431)","(37.09024, -95.712891)",85
Halifax Regional Municipality,50543,Canada,Halifax,,2016,Total,,2002,6775289.0,20.0,2020.0,World Energy Cities Calgary Climate Accord,"(44.6478, -63.5714)","(56.130366, -106.346771)",86
City of Cleveland,35859,USA,Cleveland,,2016,Total,All sources included in GHG inventory,2010,12791996.0,16.0,2020.0,"This goal is science-based and designed to be bold, yet achievable.The Climate Action Plan includes details on how much each emission reduction activity contributes to the goal.","(41.49932, -81.6943605)","(37.09024, -95.712891)",87
City of Cleveland,35859,USA,Cleveland,,2016,Total,All sources included in GHG inventory,2010,12791996.0,40.0,2030.0,"This goal is science-based and designed to be bold, yet achievable.The Climate Action Plan includes details on how much each emission reduction activity contributes to the goal.","(41.49932, -81.6943605)","(37.09024, -95.712891)",87
City of Cleveland,35859,USA,Cleveland,,2016,Total,All sources included in GHG inventory,2010,12791996.0,80.0,2050.0,"This goal is science-based and designed to be bold, yet achievable. The Climate Action Plan does not include detail on how much each emission reduction activity contributes. This is more of a visionary goal.","(41.49932, -81.6943605)","(37.09024, -95.712891)",87
City of Columbus,43910,USA,Columbus,,2016,Total,"Solid Waste
Commercial Energy
Industrial Energy
Residential Energy
Transportation & Mobile Sources
Water and Wastewater",2013,10695080.0,20.0,2020.0,,"(39.9611755, -82.9987942)","(37.09024, -95.712891)",88
City of Denver,32550,USA,Denver,,2016,Total,"Scope 1 & 2 community emissions from residential & commercial buildings, public infrastructure, transportation, waste and water/wastewater.",1990,11800000.0,1.0,2020.0,The goal is to get to at or below 1990 level emissions by 2020,"(39.737567, -104.9847179)","(37.09024, -95.712891)",89
City of Denver,32550,USA,Denver,,2016,Total,Community emissions as reported in our GHG inventory,2005,13500000.0,80.0,2050.0,Denver is utilizing a 2005 baseline for our long term goal as there were more robust data available in 2005 compared to 1990.,"(39.737567, -104.9847179)","(37.09024, -95.712891)",89
City of Durham,54108,USA,Durham,,2016,Other,"commercial buildings, residential buildings, industrial buildings, transportation",2006,7091648.0,30.0,2030.0,This is for all of Durham County.,"(35.994, -78.8986)","(37.09024, -95.712891)",90
City of Edmonton,43912,Canada,Edmonton,,2016,Total,Total greenhouse gas emissions within City of Edmonton Boundary,2005,15862000.0,35.0,2035.0,Overall TCO2e reduction,"(53.544389, -113.4909267)","(56.130366, -106.346771)",91
City of Eugene,54070,USA,Eugene,,2016,Other,"Gasoline, Diesel, Natural Gas, Electricity",1990,911965.0,10.0,2020.0,"Goal does not speak to the exact emission sources targeted, but these are the primary sources called out in the 2005 inventory - so would be the assummed target GHGs","(44.0519, -123.0867)","(37.09024, -95.712891)",92
City of Eugene,54070,USA,Eugene,,2016,Other,"Gasoline, Diesel, Natural Gas, Electricity",1990,911965.0,75.0,2050.0,"Goal does not speak to the exact emission sources targeted, but these are the primary sources called out in the 2005 inventory - so would be the assummed target GHGs","(44.0519, -123.0867)","(37.09024, -95.712891)",92
City of Eugene,54070,USA,Eugene,,2016,Other,"In boundary fossil fuel use: Gasoline, Diesel, Natural Gas",2010,1884651.0,50.0,2030.0,"Goal is silent on which fossil fuels.  This could apply to aviation fuel as well, but the target is focused on community use.","(44.0519, -123.0867)","(37.09024, -95.712891)",92
City of Hamilton,50555,Canada,Hamilton,,2016,Total,"Agriculture, waste, transportation, commercial, residential, industrial (not steel), industrial (steel sector)",2006,23351712.0,10.0,2012.0,Targets achieved in 2011.,"(43.250021, -79.866091)","(56.130366, -106.346771)",82
City of Santa Monica,54110,USA,Santa Monica,,2016,Total,"Residential, Commercial, Industrial - electricity & natural gas; Transportation; Solid Waste",1990,924293.0,80.0,2050.0,,"(34.0219, -118.4814)","(37.09024, -95.712891)",93
City of Hamilton,50555,Canada,Hamilton,,2016,Total,"Agriculture, waste, transportation, commercial, residential, industrial (not steel), industrial (steel sector)",2006,23351712.0,80.0,2050.0,New targets set in 2013 by Council.,"(43.250021, -79.866091)","(56.130366, -106.346771)",82
City of Hayward,54078,USA,Hayward,,2016,Total,City of Hayward,2005,1130113.0,20.0,2020.0,,"(37.6689, -122.0808)","(37.09024, -95.712891)",94
City of Knoxville,54048,USA,Knoxville,,2016,Total,Knoxville area,2005,4581171.0,20.0,2020.0,"Note: For question 7.3, The City of Knoxville has not estimated anticipated reductions or measure reductions based on each emissions reduction activity.  However, the cumulative effect of past emissions reductions activities reduced residential energy consumption by 2%, commercial energy consumption by 13%, and community greenhouse gas emissions by 7.75% between 2005 and 2012.","(35.9606, -83.9207)","(37.09024, -95.712891)",95
"City of Lake Forest, IL",57616,USA,"Lake Forest, Il",,2016,Total,Entire Inventory,2007,402364.0,20.0,2015.0,"After reaching our target, our current goal is to decrease emissions 2% annually.","(42.258634, -87.840625)","(37.09024, -95.712891)",96
City of Lakewood,54075,USA,Lakewood,,2016,Total,City of Lakewood jurisdictional boundary,2007,2646593.0,20.0,2025.0,,"(39.7047, -105.0814)","(37.09024, -95.712891)",97
City of Lakewood,54075,USA,Lakewood,,2016,Total,City of Lakewood jurisdictional boundary,2007,2646593.0,50.0,2050.0,,"(39.7047, -105.0814)","(37.09024, -95.712891)",97
Halifax Regional Municipality,50543,Canada,Halifax,,2016,Total,,2002,6775289.0,80.0,2050.0,World Energy Cities Calgary CLimate Accord,"(44.6478, -63.5714)","(56.130366, -106.346771)",86
"City of London, ON",50558,Canada,"London, On",,2016,Total,"GHG sources to which the target applies: city wide fossil fuel use (except aviation, marine, railway); indirect emissions from electricity use (grid-average for Ontario); landfill gas",1990,3250000.0,15.0,2020.0,,"(42.9837, -81.2497)","(56.130366, -106.346771)",98
"City of London, ON",50558,Canada,"London, On",,2016,Total,"GHG sources to which the target applies: city wide fossil fuel use (except aviation, marine, railway); indirect emissions from electricity use (grid-average for Ontario); landfill gas",1990,3250000.0,37.0,2030.0,"NOTE: London has committed to using targets consistent with the Province of Ontario's targets. In spring 2015, Ontario
announced this new mid-term reduction goal for a 37% reduction by 2030.","(42.9837, -81.2497)","(56.130366, -106.346771)",98
"City of London, ON",50558,Canada,"London, On",,2016,Total,"GHG sources to which the target applies: city wide fossil fuel use (except aviation, marine, railway); indirect emissions from electricity use (grid-average for Ontario); landfill gas",1990,3250000.0,80.0,2050.0,,"(42.9837, -81.2497)","(56.130366, -106.346771)",98
City of Minneapolis,35879,USA,Minneapolis,,2016,Total,"scope 1, scope 2 and some scope 3",2006,5700000.0,80.0,2050.0,,"(44.983334, -93.26667)","(37.09024, -95.712891)",53
"City of Northampton, MA",58530,USA,"Northampton, Ma",,2016,Total,entire city,2000,3063483.0,30.0,2020.0,"Primarily using fossil fuels, not GHG, as our measurement tool because we have more (albeit still very limited) data","(42.304845, -72.614446)","(37.09024, -95.712891)",99
City of Oakland,50560,USA,Oakland,,2016,Transport,"Transportation & Land Use
Energy Use
Material Consumption & Waste",2005,1988265.0,36.0,2020.0,,"(37.8044, -122.2708)","(37.09024, -95.712891)",100
City of Palo Alto,54119,USA,Palo Alto,,2016,Total,City wide emissions,1990,780119.0,20.0,2020.0,2007 goals exceeded. New goals being set this year. The City will comply with all State requirements and targets.,"(37.4419, -122.143)","(37.09024, -95.712891)",101
City of Palo Alto,54119,USA,Palo Alto,,2016,Total,City wide emissions,1990,780119.0,80.0,2030.0,,"(37.4419, -122.143)","(37.09024, -95.712891)",101
"City of Park City, UT",14344,USA,"Park City, Ut",,2016,Total,"Scope 1
Scope 2 
Scope 3",2015,19590.0,100.0,2032.0,Park City has adopted a goal of Net Zero Carbon Emissions for all citywide activities by 2032. This includes Scope 1 & 2 emissions as well as air travel.,"(40.6461, -111.498)","(37.09024, -95.712891)",102
City of Pittsburgh,35877,USA,Pittsburgh,,2016,Total,Pittsburgh City limits,2003,5987870.0,20.0,2025.0,In PCAP 1.0 PCI set a target of 20% below 2003 baseline by 2023. We are currently developing more ambitious and specific greenhouse gas reduction targets.,"(40.4406248, -79.9958864)","(37.09024, -95.712891)",103
City of Pittsburgh,35877,USA,Pittsburgh,,2016,Transport,Pittsburgh City limits,2013,833781.0,50.0,2030.0,,"(40.4406248, -79.9958864)","(37.09024, -95.712891)",103
"City of Richmond, VA",49334,USA,"Richmond, Va",,2016,Total,"Total - Scope 1,2,3",2008,3377616.0,80.0,2050.0,1.8% annually,"(37.540725, -77.436048)","(37.09024, -95.712891)",104
City of Sacramento,35878,USA,Sacramento,,2016,Total,Jurisdictional boundary,2005,4161823.0,15.0,2020.0,,"(38.5816, -121.4944)","(37.09024, -95.712891)",105
City of Sacramento,35878,USA,Sacramento,,2016,Total,Jurisdictional boundary,2005,4161823.0,49.0,2035.0,,"(38.5816, -121.4944)","(37.09024, -95.712891)",105
City of Sacramento,35878,USA,Sacramento,,2016,Total,Jurisdictional boundary,2005,4161823.0,83.0,2050.0,,"(38.5816, -121.4944)","(37.09024, -95.712891)",105
City of San Antonio,43905,USA,San Antonio,,2016,Total,,2013,16089575.0,50.0,2050.0,,"(29.4241, -98.4936)","(37.09024, -95.712891)",106
City of Santa Monica,54110,USA,Santa Monica,,2016,Total,"Residential, Commercial, Industrial - electricity & natural gas; Transportation; Solid Waste",1990,924293.0,15.0,2015.0,,"(34.0219, -118.4814)","(37.09024, -95.712891)",93
"City of Somerville, MA",58531,USA,"Somerville, Ma",,2016,Total,All activities inside the municipal boundary,2014,609565.0,100.0,2050.0,"Somerville has a carbon neutrality by 2050 goal.  The exact technical definition of carbon neutrality, for accounting purposes, has not yet been finalized.","(42.393449, -71.082647)","(37.09024, -95.712891)",107
City of St Louis,35393,USA,St Louis,,2016,Total,,2005,7972916.0,25.0,2020.0,,"(38.6270025, -90.1994042)","(37.09024, -95.712891)",73
City of West Hollywood,58357,USA,West Hollywood,,2016,Total,Community-wide emissions,2008,583213.0,25.0,2035.0,The target is 20-25% over 2008 levels.,"(34.09, -118.3617)","(37.09024, -95.712891)",108
City of Winnipeg,50579,Canada,City Of Winnipeg,,2016,Total,All in inventory.,1998,5257324.0,6.0,,No firm target date or action plan.,"(49.8997541, -97.1374937)","(56.130366, -106.346771)",109
City of Yonkers,52893,USA,Yonkers,,2016,Buildings,"Residential, commercial, industrial buildings",2010,844276.0,20.0,2020.0,,"(40.9414, -73.8644)","(37.09024, -95.712891)",110
Los Altos Hills,55616,USA,Los Altos Hills,,2016,Total,Town wide,2005,89913.0,30.0,2025.0,"Not yet approved by town council. Our prior target was 30% below 2005 levels by 2015, and we achieved 15%.","(37.3797, -122.1375)","(37.09024, -95.712891)",111
Town of Blacksburg,58621,USA,Blacksburg,,2016,Total,"Our original target boundary only included residential, commercial, industrial, municipal and transportation.  See comments for further explanation",1990,422626.0,80.0,2050.0,"We are undertaking an 80% reduction in community-wide emissions below 1990 levels by 2050.  The sectors for which emissions were measured were: residential, commercial, industrial, municipal and transportation.  There are strategies addressing each of these sectors in the resulting plan.  There are a handful of additional sectors that were included in the plan even though they were not part of our initial GHG inventory.  These include: food, waste & recycling, land use, and clean energy.","(37.2296, -80.4139)","(37.09024, -95.712891)",112
Ville de Montreal,35894,Canada,Montreal,,2016,Total,All,1990,14969534.0,30.0,2020.0,,"(45.5086699, -73.5539925)","(56.130366, -106.346771)",113
City of Austin,1184,USA,Austin,C40,2016,Total,"All residential, commercial, and industrial sources including transportation, landfills, electricity generation, heating, cooling, water treatment, wastewater treatment, all.",2010,14500000.0,90.0,2050.0,net zero by 2050,"(30.2672, -97.7431)","(37.09024, -95.712891)",114
City of Boston,35268,USA,Boston,C40,2016,Total,total community emissions,2005,7440000.0,25.0,2020.0,,"(42.3584308, -71.0597732)","(37.09024, -95.712891)",115
City of Chicago,3203,USA,Chicago,C40,2016,Total,Scope 1 and 2 emissions,1990,32300000.0,80.0,2050.0,,"(41.8781136, -87.6297982)","(37.09024, -95.712891)",116
City of Chicago,3203,USA,Chicago,C40,2016,Total,Scope 1 and 2 emissions,1990,32300000.0,25.0,2020.0,,"(41.8781136, -87.6297982)","(37.09024, -95.712891)",116
City of Los Angeles,10894,USA,Los Angeles,C40,2016,Total,City of Los Angeles,1990,36200000.0,60.0,2035.0,,"(34.0522342, -118.2436849)","(37.09024, -95.712891)",64
City of Los Angeles,10894,USA,Los Angeles,C40,2016,Total,City of Los Angeles,1990,36200000.0,80.0,,,"(34.0522342, -118.2436849)","(37.09024, -95.712891)",64
City of Philadelphia,31181,USA,Philadelphia,C40,2016,Total,Scopes 1&2,2006,22837228.0,80.0,2050.0,Mayor Kenney committed to an 80 by 50 goal when taking office in 2016. The Office of Sustainability will baseline and set interim goals as part of the Greenworks plan update later in 2016.,"(39.952335, -75.163789)","(37.09024, -95.712891)",117
"City of Portland, OR",14874,USA,"Portland, Or",C40,2016,Total,"Scope 1 (except fugitive emissions), Scope 2 and ""waste disposal""",1990,8989460.0,40.0,2030.0,,"(45.52, -122.6819)","(37.09024, -95.712891)",118
"City of Portland, OR",14874,USA,"Portland, Or",C40,2016,Total,"Scope 1 (except fugitive emissions), Scope 2 and ""waste disposal""",1990,8989460.0,80.0,2050.0,,"(45.52, -122.6819)","(37.09024, -95.712891)",118
"City of Portland, OR",14874,USA,"Portland, Or",C40,2016,Total,Multnomah County,1990,8989869.0,80.0,2020.0,Multnomah County,"(45.52, -122.6819)","(37.09024, -95.712891)",118
City of San Francisco,31182,USA,San Francisco,C40,2016,Total,"Residential, Commercial/Industrial, Transportation, Waste.",1990,6201949.0,20.0,2012.0,The City of San Francisco has completed a third party emissions verification during January 2015.  The City has met it's year 2012 emission reduction target by reducing it's community-wide emissions approximately 23.3% below 1990 levels.,"(37.7749295, -122.4194155)","(37.09024, -95.712891)",119
City of San Francisco,31182,USA,San Francisco,C40,2016,Total,"Residential, Commercial/Industrial, Transportation, Waste.",1990,6201949.0,25.0,2017.0,,"(37.7749295, -122.4194155)","(37.09024, -95.712891)",119
City of San Francisco,31182,USA,San Francisco,C40,2016,Total,"Residential, Commercial/Industrial, Transportation, Waste.",1990,6201949.0,40.0,2025.0,,"(37.7749295, -122.4194155)","(37.09024, -95.712891)",119
City of San Francisco,31182,USA,San Francisco,C40,2016,Total,"Residential, Commercial/Industrial, Transportation, Waste.",1990,6201949.0,80.0,2050.0,,"(37.7749295, -122.4194155)","(37.09024, -95.712891)",119
City of Seattle,16581,USA,Seattle,C40,2016,Total,"Road transportation
Building energy
Waste",2008,3647000.0,100.0,2050.0,"Our long-term goals are:
58% reduction by 2030
Zero net emissions by 2050.","(47.6062095, -122.3320708)","(37.09024, -95.712891)",120
Wellington City Council,43937,New Zealand,Wellington,,2016,Total,City,,1310705.0,80.0,2050.0,,"(26.661763, -80.268357)","(-40.900557, 174.885971)",121
City of Toronto,31117,Canada,Toronto,C40,2016,Total,"Applies to all Toronto (community) electricity, natural gas, transportation and solid waste emissions",1990,27051617.0,80.0,2050.0,6% by 2012 and 30% by 2020 below 1990 levels for the urban area; we also baselined 2004 due to inherent inadequacy of some of the 1990 data.,"(43.653226, -79.3831843)","(56.130366, -106.346771)",122
City of Vancouver,20113,Canada,Vancouver,C40,2016,Total,"All buildings, transportation and solid waste from the community",2007,2805000.0,33.0,2020.0,See the Greenest City Action Plan for details. Baseline was calculated in 2014 due to change in GWP of CH4 per IPCC AR4 (2007).,"(49.261226, -123.1139268)","(56.130366, -106.346771)",123
City of Vancouver,20113,Canada,Vancouver,C40,2016,Buildings,All existing buildings,2007,1145000.0,20.0,2020.0,See the Greenest City Action Plan for details.,"(49.261226, -123.1139268)","(56.130366, -106.346771)",123
District of Columbia,31090,USA,District Of Columbia,C40,2016,Total,"Building energy use (residential, commercial, government), transportation (VMTs), solid waste, transit.",2006,10101895.0,15.0,2015.0,,"(38.9071923, -77.0368707)","(37.09024, -95.712891)",124
District of Columbia,31090,USA,District Of Columbia,C40,2016,Total,"Building energy use (residential, commercial, government), transportation (VMTs), solid waste, transit.",2006,10101895.0,20.0,2020.0,,"(38.9071923, -77.0368707)","(37.09024, -95.712891)",124
District of Columbia,31090,USA,District Of Columbia,C40,2016,Total,"Building energy use (residential, commercial, government), transportation (VMTs), solid waste, transit.",2006,10101895.0,50.0,2032.0,2032,"(38.9071923, -77.0368707)","(37.09024, -95.712891)",124
District of Columbia,31090,USA,District Of Columbia,C40,2016,Total,"Building energy use (residential, commercial, government), transportation (VMTs), solid waste, transit.",2006,10101895.0,80.0,2050.0,2050,"(38.9071923, -77.0368707)","(37.09024, -95.712891)",124
City of Yokohama,31113,Japan,Yokohama,C40,2016,Other: Residential,Administrative boundary of a local government,2005,4390000.0,21.0,2020.0,,"(35.4437078, 139.6380256)","(36.204824, 138.252924)",125
New York City,3417,USA,New York City,C40,2016,Total,"Buildings and streetlights
Fugitive Emissions
Transportation",2005,55616668.0,30.0,2030.0,"NEW YORK—Mayor de Blasio announced today that New York City is committing to reducing its greenhouse gas emissions by 80 percent over 2005 levels by 2050, starting with One City, Built to Last: Transforming New York City’s Buildings for a Low-Carbon Future – a sweeping plan to retrofit public and private buildings to dramatically reduce the city’s contributions to climate change, while spurring major cost savings and creating thousands of new jobs for New Yorkers who most need them. This makes New York the largest city to commit to the 80 percent reduction by 2050, and charts a long-term path for investment in renewable sources of energy and a total transition from fossil fuels.

Nearly three quarters of New York City’s greenhouse gas emissions come from energy used to heat, cool, and power buildings, making building retrofits a central component of any plan to dramatically reduce emissions.

The City is poised to make direct investments to increase the efficiency of its public buildings, including schools and public housing, reducing the government’s contribution to climate change and generating operational savings for New York City taxpayers. Every single city-owned building with any significant energy use – approximately 3,000 buildings – will be retrofitted within the next ten years, by 2025, with interim goals along the way.","(40.7127837, -74.0059413)","(37.09024, -95.712891)",126
Suwon City,44185,South Korea,Suwon ,,2016,Total,Suwon total emissions,2005,601495.0,40.0,,,"(37.2635727, 127.0286009)","(35.907757, 127.766922)",127
New York City,3417,USA,New York City,C40,2016,Buildings,"Buildings and streetlights
Fugitive Emissions
Transportation",2005,55616668.0,35.0,2025.0,"Global climate change is the challenge of our generation. The stakes are high—for New Yorkers and for the world. In the coming years, New York City will face rising sea levels, increased temperatures and heat waves, and an increasing frequency of the most intense storms. These risks are not remote nor distant. They are here today. The damage caused by Hurricane Sandy in 2012 provided vivid evidence of these risks. Almost two years later, we are still recovering. Globally, climate change is having a devastating impact on people’s lives as rising sea levels flood coastlines, droughts disrupt livelihoods, and storms, hurricanes, and other extreme weather events threaten security and economic development.

For this reason, New York City is committed to reducing its greenhouse gas (GHG) emissions by 80 percent by 2050—the level the United Nations projects is needed to avoid the most dangerous impacts of climate change—and will chart a long-term course for a total transition away from fossil fuels to renewable sources of energy. We have developed an action plan for our buildings sector to reach a 35% energy reduction by 2025.","(40.7127837, -74.0059413)","(37.09024, -95.712891)",126
New York City,3417,USA,New York City,C40,2016,Total,"Buildings and streetlights
Fugitive Emissions
Transportation",2005,55616668.0,80.0,2050.0,"Global climate change is the challenge of our generation. The stakes are high—for New Yorkers and for the world. In the coming years, New York City will face rising sea levels, increased temperatures and heat waves, and an increasing frequency of the most intense storms. These risks are not remote nor distant. They are here today. The damage caused by Hurricane Sandy in 2012 provided vivid evidence of these risks. Almost two years later, we are still recovering. Globally, climate change is having a devastating impact on people’s lives as rising sea levels flood coastlines, droughts disrupt livelihoods, and storms, hurricanes, and other extreme weather events threaten security and economic development.

For this reason, New York City is committed to reducing its greenhouse gas (GHG) emissions by 80 percent by 2050—the level the United Nations projects is needed to avoid the most dangerous impacts of climate change—and will chart a long-term course for a total transition away from fossil fuels to renewable sources of energy. We have developed an action plan for our buildings sector to reach a 35% energy reduction by 2025.","(40.7127837, -74.0059413)","(37.09024, -95.712891)",126
"City of Brisbane, CA",59595,USA,"Brisbane, Ca",,2016,Total,,2005,160944.0,15.0,2020.0,,"(37.6808, -122.4)","(37.09024, -95.712891)",128
"City of Hermosa Beach, CA",59612,USA,"Hermosa Beach, Ca",,2016,Total,City of Hermosa Community  emissions,2005,137160.0,100.0,2040.0,,"(33.8622, -118.3995)","(37.09024, -95.712891)",129
City of North Vancouver,59669,Canada,North Vancouver,,2016,Total,City of North Vancouver municipal boundary,2007,224212.0,15.0,2020.0,"Includes: solid waste, public transportation; private transportation; industrial buildings; residential buildings","(49.32699, -123.07328)","(56.130366, -106.346771)",130
City of North Vancouver,59669,Canada,North Vancouver,,2016,Total,City of North Vancouver municipal boundary,2007,224212.0,50.0,2050.0,"Includes: solid waste, public transportation; private transportation; industrial buildings; residential buildings","(49.32699, -123.07328)","(56.130366, -106.346771)",130
"Town of Vail, CO",59535,USA,"Vail, Co",,2016,Total,Vail town limits,2009,406000.0,20.0,2020.0,,"(39.6403, -106.3742)","(37.09024, -95.712891)",131
City Government of Makati,54354,Philippines,Makati,,2016,Other,"GHG emission (electricity,fuel,waste) of commercial establishment per the GHG Tracker System",2011,60000.0,52.0,2020.0,Figures in the 4th column entails the reduction effort in tCO2e in 10 years time. Baseline emission is the Total emission of 1.6 tCO2e.,"(14.559004, 121.081632)","(12.879721, 121.774017)",132
Changwon City,31186,South Korea,Changwon ,C40,2016,Total,"Carbon Reduction Ratio by GHG Sources
Industrial                           30.7%
Domestic                          14.8%
Commercial                        5.8%
Transportation                  20.9%
Wastes                               1.5%
Agriculture, Livestocks       6.2%
Others                               20.2%",2005,7501126.0,30.0,2020.0,"The total reduction amount will be reached 3,102,145tCO2eq.","(35.154167, 126.949167)","(35.907757, 127.766922)",133
City of Melbourne,31109,Australia,Melbourne,C40,2016,Total,"- Electricity
- Gas
- Transport
- Waste",2008,4934000.0,100.0,2020.0,We have a Zero Net Emissions by 2020 Strategy for the municipality.,"(-37.814107, 144.96328)","(-25.274398, 133.775136)",134
City of Sydney,31114,Australia,Sydney,C40,2016,Total,"Emissions from sources: electricity, gas, transportation and waste within the operational boundary of City of Sydney",2006,4536712.0,70.0,2030.0,Baseline emissions were calculated based on GPC BASIC methodology,"(-33.8674869, 151.2069902)","(-25.274398, 133.775136)",135
City of Yokohama,31113,Japan,Yokohama,C40,2016,Other: Commercial,Administrative boundary of a local government,2005,3350000.0,7.0,2020.0,,"(35.4437078, 139.6380256)","(36.204824, 138.252924)",125
City of Yokohama,31113,Japan,Yokohama,C40,2016,Other: Industries,Administrative boundary of a local government,2005,2950000.0,8.0,2020.0,,"(35.4437078, 139.6380256)","(36.204824, 138.252924)",125
City of Yokohama,31113,Japan,Yokohama,C40,2016,Other: Energy Industries,Administrative boundary of a local government,2005,3680000.0,4.0,2020.0,,"(35.4437078, 139.6380256)","(36.204824, 138.252924)",125
City of Yokohama,31113,Japan,Yokohama,C40,2016,Transport,Administrative boundary of a local government,2005,4340000.0,50.0,2020.0,,"(35.4437078, 139.6380256)","(36.204824, 138.252924)",125
City of Yokohama,31113,Japan,Yokohama,C40,2016,Waste,Administrative boundary of a local government,2005,430000.0,2.0,2020.0,,"(35.4437078, 139.6380256)","(36.204824, 138.252924)",125
City of Yokohama,31113,Japan,Yokohama,C40,2016,Other: 5 gases other than CO2,Administrative boundary of a local government,2005,410000.0,22.0,2020.0,,"(35.4437078, 139.6380256)","(36.204824, 138.252924)",125
City of Yokohama,31113,Japan,Yokohama,C40,2016,Total,Administrative boundary of a local government,2005,19540000.0,16.0,2020.0,,"(35.4437078, 139.6380256)","(36.204824, 138.252924)",125
Seoul Metropolitan Government,31187,South Korea,Seoul ,C40,2016,Transport,"Transportation, Citizen's cultural place etc.",2005,49467000.0,25.0,2020.0,One Less Nuclear Power Plant,"(37.566535, 126.9779692)","(35.907757, 127.766922)",136
Singapore Government,35993,Singapore,Singapore ,C40,2016,Total,Total GHG (nation-wide),2020,77.2,11.0,2020.0,"7 to 11% reduction (unconditional) from 2020 Business-as-usual (BAU) emissions

16% reduction (conditional of global deal) from 2020 Business-as-usual (BAU) emissions","(1.352083, 103.819836)","(1.352083, 103.819836)",137
Tokyo Metropolitan Government,31111,Japan,Tokyo,C40,2016,Total,,2000,62100000.0,30.0,2030.0,"TMG also set energy efficiency targets


industrial and Commercial sector 30%
Residential sector 30%
Transportation 60%
Total 38%","(35.6896342, 139.6921007)","(36.204824, 138.252924)",138
Tokyo Metropolitan Government,31111,Japan,Tokyo,C40,2016,Other: Industrial and Commercial sector,,2000,25700000.0,20.0,2030.0,,"(35.6896342, 139.6921007)","(36.204824, 138.252924)",138
Tokyo Metropolitan Government,31111,Japan,Tokyo,C40,2016,Other: Residential sector,,2000,14300000.0,20.0,2030.0,,"(35.6896342, 139.6921007)","(36.204824, 138.252924)",138
Tokyo Metropolitan Government,31111,Japan,Tokyo,C40,2016,Transport,,2000,17600000.0,60.0,2030.0,,"(35.6896342, 139.6921007)","(36.204824, 138.252924)",138
